Name,Business Id,Rating,Url,State,Country,Latitude,Longitude,Lookup,Concatenated Key,Check
Petit Jean State Park,0jTwVp3T3Rh59dwyKtlV1A,4.5,https://www.yelp.com/biz/petit-jean-state-park-morrilton?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,35.12,-92.93,#N/A,35.12-92.93,#N/A
Pinnacle Mountain State Park,kVDe8xiaZj68QG7dE8So4Q,5,https://www.yelp.com/biz/pinnacle-mountain-state-park-roland?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.84,-92.49,#N/A,34.84-92.49,#N/A
Hot Springs National Park KOA,d7HcReFGGRjIh9uFZ-22tA,4.5,https://www.yelp.com/biz/hot-springs-national-park-koa-hot-springs-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.51,-93.01,#N/A,34.51-93.01,#N/A
"Catherine's Landing, an RVC Outdoor Destination",zA1mOQupOS2hso9JsamIvg,4.5,https://www.yelp.com/biz/catherines-landing-hot-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.45,-93,#N/A,34.45-93,#N/A
Gulpha Gorge Campground,QqCTCCVNeCXedhyYFMADyg,4,https://www.yelp.com/biz/gulpha-gorge-campground-hot-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.53,-93.03,#N/A,34.53-93.03,#N/A
Hot Springs Off-Road Park,m5UU1OZ1tY6JExeWsMFjEQ,4,https://www.yelp.com/biz/hot-springs-off-road-park-hot-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.54,-92.97,#N/A,34.54-92.97,#N/A
Leisure Landing RV Park - Arkansas,zIAayWSzEv5gwAfpH0Hblg,4.5,https://www.yelp.com/biz/leisure-landing-rv-park-arkansas-lake-hamilton?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.41,-93.09,#N/A,34.41-93.09,#N/A
Toad Suck Park,yssThr0MM1vpEo_eUpgB0w,4,https://www.yelp.com/biz/toad-suck-park-houston?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,35.08,-92.54,#N/A,35.08-92.54,#N/A
Bark Bar,EcoXTeHyIX16CnaMnV7Ypg,4,https://www.yelp.com/biz/bark-bar-little-rock-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.74,-92.28,#N/A,34.74-92.28,#N/A
Young's Lakeshore RV Resort,jOBPxwNkRe27wMUHqrNI3A,5,https://www.yelp.com/biz/youngs-lakeshore-rv-resort-hot-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.47,-93.09,#N/A,34.47-93.09,#N/A
Hot Springs-City of,Wxi_SM_T6b-f_sccHVdVhw,4.5,https://www.yelp.com/biz/hot-springs-city-of-hot-springs-national-park-8?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.51,-93.05,#N/A,34.51-93.05,#N/A
Muir Woods National Monument,J3C1Eenep01AKjTBsEx3qg,4.5,https://www.yelp.com/biz/muir-woods-national-monument-mill-valley?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.9,-122.58,Muir Woods National Monument,37.9-122.58,37.9-122.58
Mission Dolores Park,Tf_27JvnneEx0Tz79UwShg,4.5,https://www.yelp.com/biz/mission-dolores-park-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.76,-122.43,#N/A,37.76-122.43,#N/A
Lovers' Lane at the Presidio,KRkI76ocl3ZU7fKtdFlS1Q,4.5,https://www.yelp.com/biz/lovers-lane-at-the-presidio-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.79,-122.45,#N/A,37.79-122.45,#N/A
