Name,Business Id,Rating,Url,State,Country,Latitude,Longitude
Hieroglyphic Trail Hoa,3RNbbeS09y4MHtlZ82Obyw,4.5,https://www.yelp.com/biz/hieroglyphic-trail-hoa-gold-canyon?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.39,-111.42
Agua Fria National Monument,OxwjjHYS44STc4oQ-zs6eg,3.5,https://www.yelp.com/biz/agua-fria-national-monument-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.68,-112.08
Tom's Thumb Trailhead,VXsjUX82DnnEB36G2YPBlw,4.5,https://www.yelp.com/biz/toms-thumb-trailhead-scottsdale-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.69,-111.8
"Wildlife World Zoo, Aquarium & Safari Park",eE4MUd3m6j6yISWjEYjyPQ,3.5,https://www.yelp.com/biz/wildlife-world-zoo-aquarium-and-safari-park-litchfield-park-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.55,-112.41
Vulture City Ghost Town,-zGcn0IlayyhbnjcH-nfoA,4.5,https://www.yelp.com/biz/vulture-city-ghost-town-wickenburg?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.82,-112.83
Lost Dutchman State Park,-HfsRz8SWvX-A7tayG_Tgg,4.5,https://www.yelp.com/biz/lost-dutchman-state-park-apache-junction-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.46,-111.49
Tonto National Forest,M1ohFUK4fLGSFoDXhLA33Q,4.5,https://www.yelp.com/biz/tonto-national-forest-mesa-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.45,-111.72
The Old Mill,OiZ-vX-_-5DN9TbD0z-WRw,5.0,https://www.yelp.com/biz/the-old-mill-north-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.79,-92.25
Arkansas State Capitol,hsoC0TUYf_7IUoF1MIJbeg,4.0,https://www.yelp.com/biz/arkansas-state-capitol-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.75,-92.29
Pinnacle Mountain State Park,kVDe8xiaZj68QG7dE8So4Q,5.0,https://www.yelp.com/biz/pinnacle-mountain-state-park-roland?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.84,-92.49
William J Clinton Presidential Center,TIaol--VTXhWQSSYwIGJTQ,4.0,https://www.yelp.com/biz/william-j-clinton-presidential-center-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.75,-92.26
The Empress of Little Rock,u6hiFFDFcye3PQ0IFlMH4w,5.0,https://www.yelp.com/biz/the-empress-of-little-rock-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.73,-92.28
